Precipitacao,Temp_Max,Temp_Min,Umidade,Temp_Media,Ano,Mes,Producao_t
244.3,28.0,19.5,78.6,23.75,2018,1,9704950
102.2,27.5,18.9,75.3,23.2,2018,2,9704950
227.5,29.6,20.3,77.6,24.950000000000003,2018,3,9704950
28.0,26.9,17.8,72.2,22.35,2018,4,9779309
10.8,25.0,15.2,71.4,20.1,2018,5,9779309
12.7,23.5,14.6,72.4,19.05,2018,6,9740509
24.2,25.1,14.2,65.1,19.65,2018,7,9704950
48.8,22.3,13.3,71.6,17.8,2018,8,9704950
72.8,25.8,15.5,73.8,20.65,2018,9,9704950
121.0,24.8,16.8,83.2,20.8,2018,10,9704950
101.7,26.4,17.8,76.1,22.1,2018,11,9704950
191.1,29.8,19.3,68.0,24.55,2018,12,9704950
305.9,31.9,20.4,74.0,26.15,2019,1,9503392
323.2,28.6,19.6,75.4,24.1,2019,2,9503392
239.6,28.4,19.3,76.8,23.85,2019,3,9503392
148.1,27.8,18.9,74.6,23.35,2019,4,9118397
53.7,25.6,17.2,74.8,21.4,2019,5,9118397
42.3,24.3,15.3,69.0,19.8,2019,6,9118397
156.0,23.2,12.8,66.9,18.0,2019,7,9118397
3.3,23.9,13.6,70.2,18.75,2019,8,9118397
78.5,25.9,16.0,72.7,20.95,2019,9,9118397
46.2,29.1,17.9,70.6,23.5,2019,10,9118397
111.2,27.3,17.9,75.8,22.6,2019,11,9118397
266.5,28.3,19.1,75.1,23.700000000000003,2019,12,9224840
287.4,28.5,19.4,75.2,23.95,2020,1,9243126
505.7,27.0,19.5,83.5,23.25,2020,2,9243126
215.13,27.8,18.2,74.5,23.0,2020,3,9243126
220.38,27.78,17.65,74.2,22.715,2020,4,9243126
225.62,27.88,17.67,74.22,22.775,2020,5,9243126
230.87,27.97,17.69,74.24,22.83,2020,6,42121119
236.11,28.07,17.71,74.27,22.89,2020,7,10344265
241.36,28.17,17.73,74.29,22.950000000000003,2020,8,10344265
246.6,28.27,17.75,74.31,23.01,2020,9,10344265
251.85,28.37,17.78,74.34,23.075000000000003,2020,10,9769169
257.09,28.46,17.8,74.36,23.130000000000003,2020,11,9769169
262.33,28.56,17.82,74.38,23.19,2020,12,9946169
267.58,28.66,17.84,74.41,23.25,2021,1,9946169
272.82,28.76,17.86,74.43,23.31,2021,2,9946169
278.07,28.86,17.88,74.45,23.37,2021,3,9946169
283.31,28.96,17.9,74.48,23.43,2021,4,10254202
288.56,29.05,17.93,74.5,23.49,2021,5,10254202
293.8,20.9,13.2,74.52,17.049999999999997,2021,6,10254202
299.04,22.6,10.9,72.0,16.75,2021,7,10254202
44.4,24.8,14.7,67.8,19.75,2021,8,10254202
39.5,28.4,16.9,73.76,22.65,2021,9,10254202
91.9,24.5,16.1,73.75,20.3,2021,10,9946169
98.6,27.2,17.5,73.75,22.35,2021,11,9946169
127.3,26.8,18.3,73.74,22.55,2021,12,9946169
357.2,28.5,20.2,73.74,24.35,2022,1,9906958
68.1,29.1,19.8,73.73,24.450000000000003,2022,2,9906958
213.9,29.9,20.3,73.73,25.1,2022,3,9906958
125.3,25.1,19.8,73.73,22.450000000000003,2022,4,10098626
42.3,23.0,13.6,73.72,18.3,2022,5,10098626
32.3,22.9,13.5,73.72,18.2,2022,6,10098626
9.0,25.9,14.8,73.71,20.35,2022,7,10098626
22.8,23.7,12.9,73.71,18.3,2022,8,10098626
129.6,23.3,13.6,73.7,18.45,2022,9,10510727
95.9,27.3,16.9,73.7,22.1,2022,10,10510727
181.6,25.9,15.0,72.7,20.45,2022,11,10700329
159.8,27.4,18.3,77.2,22.85,2022,12,10700329
211.0,27.8,19.2,77.7,23.5,2023,1,10700329
428.9,28.6,19.7,78.6,24.15,2023,2,10700329
239.2,29.7,19.5,73.9,24.6,2023,3,10700329
106.8,25.8,17.0,76.2,21.4,2023,4,10923333
51.1,24.7,15.5,74.1,20.1,2023,5,10923333
46.2,23.4,13.8,76.6,18.6,2023,6,10923333
11.0,23.9,13.7,74.0,18.8,2023,7,10923333
28.3,25.9,15.4,68.9,20.65,2023,8,10923333
77.6,30.3,17.8,66.1,24.05,2023,9,11016093
356.0,27.1,18.0,78.0,22.55,2023,10,11016093
182.8,29.9,19.5,65.0,24.7,2023,11,11016093
95.9,31.0,20.1,68.0,25.55,2023,12,11284564
286.6,29.3,19.8,79.7,24.55,2024,1,11284564
231.9,30.1,20.4,76.1,25.25,2024,2,11284564
283.6,29.7,20.5,77.8,25.1,2024,3,11284564
16.6,29.5,19.3,71.4,24.4,2024,4,11284564
61.7,27.3,18.0,66.9,22.65,2024,5,11284564
0.0,26.3,15.6,65.6,20.95,2024,6,11284564
68.0,24.0,13.7,71.7,18.85,2024,7,11284564
59.0,26.7,13.5,60.7,20.1,2024,8,11284564
15.2,30.1,17.6,61.1,23.85,2024,9,11284564
177.4,27.4,17.3,75.4,22.35,2024,10,11284564
122.5,27.7,18.6,75.5,23.15,2024,11,11284564
231.0,28.5,19.8,77.3,24.15,2024,12,11284564
